id,city,team1,team2,toss_winner,toss_decision,winner
1082628,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians
1082629,Pune,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Rising Pune Supergiant
1082630,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,Delhi Daredevils
1082631,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
1082632,Delhi,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,Delhi Daredevils
1082633,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab
1082634,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,Rising Pune Supergiant
1082635,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians
1082636,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1082637,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
1082638,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad
1082639,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
1082640,Kanpur,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
1082641,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab
1082642,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils
1082643,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1082644,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians
1082645,Pune,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,Rising Pune Supergiant
1082646,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1082647,Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant
1082648,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1082649,Bangalore,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians
1082650,Hyderabad,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians
1136561,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1136562,Chandigarh,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab
1136563,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders
1136564,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1136565,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings
1136566,Jaipur,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals
1136567,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1136568,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1136569,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
1136570,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1136571,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals
1136572,Chandigarh,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab
1136573,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders
1136574,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
1136575,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1136576,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab
1136577,Pune,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
1136578,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
1136579,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1136580,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings
1136581,Jaipur,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals
1136582,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Kings XI Punjab
1136583,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad
1136584,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1136585,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
1136586,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils
1136587,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
1136588,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
1136589,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1136590,Pune,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings
1136591,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore
1136592,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Delhi Daredevils
1136593,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders
1136594,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
1136595,Pune,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings
1136596,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,Sunrisers Hyderabad
1136597,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians
1136598,Indore,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab
1136599,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1136600,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals
1136601,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians
1136602,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad
1136603,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals
1136604,Indore,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders
1136605,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1136606,Pune,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings
1136607,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
1136608,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1136609,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders
1136610,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians
1136611,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore
1136612,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils
1136613,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals
1136614,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
1136615,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils
1136616,Pune,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings
1136617,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1136618,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders
1136619,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad
1136620,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings
1175356,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings
1175357,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders
1175358,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals
1175359,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab
1175360,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings
1175361,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders
1175362,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians
1175363,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad
1175364,Chandigarh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab
1175365,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals
1175366,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1175367,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
1175368,Chandigarh,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab
1175369,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals
1175370,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
1175371,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1175372,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1178393,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
1178394,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians
1178395,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
1178396,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1178397,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab
1178398,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings
1178399,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians
1178400,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1178401,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
1178402,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
1178403,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1178404,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1178405,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals
1178406,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians
1178407,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
1178408,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad
1178409,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians
1178410,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore
1178411,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals
1178412,Delhi,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals
1178413,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1178414,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore
1178415,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
1178416,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings
1178417,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore
1178418,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
1178419,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians
1178420,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals
1178421,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals
1178422,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders
1178423,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
1178424,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,NA
1178425,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings
1178426,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians
1178427,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
1178428,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals
1178429,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore
1178430,Chandigarh,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab
1178431,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians
1181764,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians
1181766,Visakhapatnam,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals
1181767,Visakhapatnam,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings
1181768,Hyderabad,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
1216492,Abu Dhabi,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1216493,Dubai,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals
1216494,Abu Dhabi,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore
1216495,Sharjah,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1216496,Sharjah,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals
1216497,Abu Dhabi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders
1216498,Dubai,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab
1216499,Abu Dhabi,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
1216500,Sharjah,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals
1216501,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders
1216502,Sharjah,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1216503,Abu Dhabi,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians
1216504,Dubai,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders
1216505,Abu Dhabi,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
1216506,Abu Dhabi,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1216507,Dubai,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals
1216508,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians
1216509,Sharjah,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals
1216510,Dubai,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
1216511,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians
1216512,Abu Dhabi,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders
1216513,Dubai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings
1216514,Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore
1216515,Sharjah,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals
1216516,Dubai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
1216517,Dubai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab
1216518,Dubai,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1216519,Dubai,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals
1216520,Sharjah,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
1216521,Sharjah,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
1216522,Dubai,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore
1216523,Abu Dhabi,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders
1216524,Dubai,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad
1216525,Dubai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1216526,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
1216527,Sharjah,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
1216528,Dubai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings
1216529,Abu Dhabi,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians
1216530,Dubai,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders
1216531,Sharjah,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
1216532,Abu Dhabi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad
1216533,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals
1216534,Dubai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore
1216535,Dubai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
1216536,Dubai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
1216537,Abu Dhabi,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
1216538,Sharjah,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians
1216539,Dubai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals
1216540,Sharjah,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1216541,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals
1216542,Dubai,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
1216543,Dubai,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals
1216544,Dubai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings
1216545,Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
1216546,Dubai,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab
1216547,Dubai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore
1237177,Dubai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians
1237178,Abu Dhabi,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1237180,Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals
1237181,Dubai,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians
